avgGas,timestamp,samples,open,close,high,low
94169.48157500003,2024-12-12 04:19:36.582000+00:00,60,14.1651,14.7518,18.3707,12.5534
87026.76799166665,2024-12-12 03:19:32.692000+00:00,60,14.7451,15.1123,21.375,12.7645
88186.01076333337,2024-12-12 02:19:25.249000+00:00,60,14.8941,13.4672,18.5522,11.2305
84872.85939333332,2024-12-12 01:19:18.909000+00:00,60,12.0333,15.5268,16.8813,10.0
80391.67469500001,2024-12-12 00:19:12.473000+00:00,60,14.4047,18.0,23.4741,12.0
87999.30773220341,2024-12-11 23:19:22.105000+00:00,59,18.1879,18.4147,25.5322,12.9434
85155.8344083333,2024-12-11 22:19:16.912000+00:00,60,17.0246,20.2429,30.5039,15.7509
81033.396025,2024-12-11 21:19:11.252000+00:00,60,22.1403,24.6239,26.2756,18.0
80458.97637833333,2024-12-11 20:19:06.633000+00:00,60,25.4872,26.1976,38.7221,22.7178
80158.40900333333,2024-12-11 19:18:59.240000+00:00,60,26.9856,37.6299,39.7226,23.0
79701.4569525424,2024-12-11 18:19:54.279000+00:00,59,35.2569,30.4065,51.4592,26.9656
77739.72551666666,2024-12-11 17:19:50.005000+00:00,60,28.6826,28.7742,35.8864,20.0
75923.830855,2024-12-11 16:19:44.677000+00:00,60,26.8725,31.3221,32.3121,23.1397
78098.38177333334,2024-12-11 15:19:40.355000+00:00,60,32.2934,26.1504,42.7413,26.1504
79157.14347333334,2024-12-11 14:19:36.530000+00:00,60,27.8449,31.0148,33.388,21.0617
84342.095765,2024-12-11 13:19:33.485000+00:00,60,30.6317,17.4094,46.0298,15.4927
81909.00045666665,2024-12-11 12:19:30.016000+00:00,60,18.0003,20.2865,21.8219,15.0108
80704.549755,2024-12-11 11:19:26.579000+00:00,60,22.3575,12.5,22.5574,11.0
79757.78348166672,2024-12-11 10:19:23.186000+00:00,60,12.0,11.7348,14.1025,10.0
81776.72379833335,2024-12-11 09:19:19.545000+00:00,60,11.9717,14.4,17.0211,10.8314
84760.27292166669,2024-12-11 08:19:15.735000+00:00,60,15.1967,12.748,26.2899,10.3746
83314.00792166665,2024-12-11 07:19:11.570000+00:00,60,11.5912,10.0,14.0309,9.0
89923.30013666667,2024-12-11 06:19:06.813000+00:00,60,10.6926,10.8992,20.0,9.0345
93996.91019333331,2024-12-11 05:19:02.966000+00:00,60,11.2015,11.2332,13.0202,9.2316
106290.85932999996,2024-12-11 04:18:59.324000+00:00,60,11.7428,13.3962,15.5103,10.9636
